No,Question,Answer,,Expected Answer,CCS's Comment,Satisfaction Score,,Good,Satisfactory and Relevant
1,ขั้นตอนการติดตั้งเครื่อง edc ,"1. เสียบสาย Adapter เครื่อง EDC เข้ากับปลั๊กไฟ
2. นำสาย Port USB จากเครื่อง EDC เสียบที่เครื่องคอมพิวเตอร์ที่ใช้โปรแกรมการรับเงิน
3. ติดตั้ง Driver สำหรับใช้งานเครื่อง EDC",,-,-,Excellent,,,
2,โหลดไดร์เวอร์ได้ที่ไหน ,โหลดไดร์เวอร์ได้ที่หน้าเขียว http://misweb.bma.go.th หรือเข้า link โดยตรง http://misweb.bma.go.th/download/MISEDCTEMP/usb/Driver.rar จากนั้นทำการแตกไฟล์จะได้ไฟล์ดังภาพ,,เมื่อ clik link http://misweb.bma.go.th/download/MISEDCTEMP/usb/Driver.rar ใน Chatbot สามารถดาวน์โหลดได้โดยตรง ทุก web browser,เมื่อเปิด link BMA Document Chatbot in Chomeสามารถโหลดได้ยกเว้น เปิดใน Edge ไม่สามารถโหลดได้ ขึ้นข้อความ 'Driver.rar can't be downloaded securely',Good,,,
3,วิธีการตรวจสอบเวอร์ชันโปรแกรม ,-,,-,-,Excellent,,,
4,ดูไดร์เวอร์เครื่อง edc และ โปรแกรมเชื่อมต่อกับเครื่องรูดบัตร ว่าเป็นไดร์เวอร์ ไหนยังไง ,-,,-,-,Excellent,,,
5,ถ้าเวอร์ชันไม่ได้เป็นตัวล่าสุด ต้องทำอย่างไร ,-,,-,-,Excellent,,,
7,วิธีติดตั้ง driver เครื่องรูดบัตร ,วิธีการถอนการติดตั้งโปรแกรม Driver เครื่องรูดบัตรเวอร์ชันเก่า,,ควรเป็นวิธีติดตั้ง Driver ยังไม่ใช่วิธีถอนการติดตั้ง,"เมื่อถามว่าคำถามคล้ายกัน 'วิธีติดตั้ง Driver ของเครื่องรูดบัตร EDC' AI ตอบ ---> ""วิธีการตรวจสอบเวอร์ชั่นโปรแกรม""",Good,,,
8,วิธีติดตั้ง โปรแกรมเชื่อมต่อกับเครื่องรูดบัตร ,-,,-,-,Good,,,
9,ตรวจสอบเครื่อง edc ว่าใช้งานได้ไหม อย่างไร ,-,,-,-,Excellent,,,
10,วิธีการค้นหาใบแจ้งการชำระ ,-,,-,-,Excellent,,,
11,รับเงินผ่าน QR Code ต้องทำยังไง ,ตอบเป็นขั้นตอนการรับเงินผ่าน QR Code แบบไม่เชื่อมโยง,,"""1. เข้าหน้าจอ รับเงินจากใบแจ้งชำระ
2. ค้นหาใบแจ้งชำระ จาก ref1 ของใบแจ้งชำระ
3. เลือกใบแจ้งชำระที่ต้องการจ่ายเงิน
4. เลือกจ่ายเงิน เฉพาะเงินโอน
5. กดปุ่ม """"สร้าง QR CODE และ พิมพ์ slip""""
6.  เครื่อง EDC จะแสดงและพิมพ์ QR CODE
7. ประชาชน สแกนจ่าย
8. กดปุ่มสีเขียวที่เครื่อง EDC
9. sale slip จะถูก พิมพ์ออกมา และระบบการเงินรับ จะขึ้นแจ้งว่า บันทึกเรียบร้อย และ พิมพ์ ใบเสร็จ""",ต้องตอบ เรื่องรับ QR ตาม flow ปกติ ไม่ใช่ flow ของรับแบบไม่เชื่อมโยง,Poor,,,
